full_configuration_index,configuration_fingerprint,source_family,source_files,archived_run_records,training_instances,actual_mean_par10,predicted_median_mean_par10,absolute_error,actual_instance_mean_timeout_fraction,predicted_timeout_fraction
0,00aa9dcb5341a3cabef8715d0201ca02af18d5a8f9dde637d04ce14b5263c17e,SMAC,SMAC5,487,484,15.665618608471075,15.87403868141869,0.20842007294761444,0.002066115702479339,0.002066115702479339
1,00d29df9b961a87b3a0040065a244509b2a7c84ea524327ae39dbeee534201ab,ROAR,ROAR8,2000,484,23.332227692665285,22.377240347629797,0.9549873450354873,0.004132231404958678,0.004132231404958678
2,01f9c4b8922d0626f332ea168cea08a664ec28666a1852a0b812d1139700fcf0,SMAC,SMAC2,2000,484,8.969960027995867,8.685799827325843,0.28416020067002457,0.0,0.0
3,04bfe4fe6dce5edfadf4e5562c7bf015647ae6c90c4ff77b7d508f4726243fce,SMAC,SMAC5,1773,484,13.903824233987605,15.942768962237952,2.038944728250348,0.0,0.002066115702479339
4,0664dd04303e92bb4a21b4a296a5f924bd9daf742bf1e8a9c452036307d6792e,SMAC,SMAC3,613,484,10.25607692768595,9.456969644150828,0.7991072835351218,0.0,0.0
5,06bc1291a6a17577b9de3145f266f5524422231dea522edc518353a8fbffb152,SMAC,SMAC9,803,484,56.92378770971075,48.13522496781397,8.788562741896783,0.014462809917355372,0.012396694214876033
6,0cac50c5b143f46900ed1f63dac40c9cb9474a257d3039d3b6f9097431ccca4e,ROAR,ROAR9,535,484,52.74601439772727,51.45448109232012,1.2915333054071496,0.012396694214876033,0.012396694214876033
7,0d1339d24d24fbe5cc181beacfa3ced049ca5387fe758f598948c733a03e8c0f,SMAC,SMAC1,1920,484,25.943996205061985,23.02935116846607,2.914645036595914,0.004132231404958678,0.004132231404958678
8,0e9da9fed729de0ce1261dc09be63a61e7252ba775e19511083adc3bea43f06d,ROAR,ROAR6,613,484,105.37015313016528,104.12882396419849,1.241329165966789,0.030991735537190084,0.030991735537190084
9,0f955c9f074ca7486936fc2c8d030a42216a4881bcfa6aa050dd411a7d67be13,ROAR,ROAR9,2000,484,42.90956142386364,42.6476512052088,0.2619102186548403,0.006198347107438017,0.010330578512396695
10,1594205e0d2a13f07ed3ef9051d80752389706bfbc7dff6ed87acd77b313c614,ROAR,ROAR3,1961,484,27.648046855888428,23.900872516999993,3.747174338888435,0.004132231404958678,0.004132231404958678
11,19c522c8d9a5705d12662b1ceba5c1aeb59a5f576ef0051cb909e5b79e4e9af3,ROAR,ROAR5,2000,484,23.369475895454546,10.059919729828835,13.309556165625711,0.0,0.0
12,2467b31c26066e8349db15edce7238dbe537a52d1f270c5e712aae2231be608b,SMAC,SMAC4,603,484,10.25145951342975,9.424242145235628,0.8272173681941233,0.0,0.0
13,27b055d3cf3a28bed4726a45f78d5579a3e4d3d2d573cd02d3e6fb24448317a5,SMAC,SMAC9,945,484,50.67006045454546,48.04615209139653,2.623908363148928,0.012396694214876033,0.012396694214876033
14,3369fecab72dd874929f6ff6e989c2df31f7b24af9325ada2d49f388ab3be6b5,ROAR,ROAR6,2000,484,13.125640659710742,12.237045775887303,0.8885948838234388,0.0,0.0
15,346043a606246fa654dedeac82c58e612b7a0205498397891cc9ffd1a4154217,SMAC,SMAC2,850,484,9.70637462396694,8.967765828471416,0.7386087954955247,0.0,0.0
16,365f640a9c4d45204f9fc444cd3709d70d82776eac0a24ae9fea18eeca6ac264,SMAC,SMAC5,1489,484,9.217028541666664,9.68725393963439,0.47022539796772556,0.0,0.0
17,3cbcd817e7af7dfb244431d9e8d76b541fb38bda83230e5fed5e5dda23945637,SMAC,SMAC8,610,484,11.201460453512396,9.956281495472986,1.2451789580394106,0.0,0.0
18,3ff34fa887a3bbd5e0f5719c9d33a2eb45c00fcb60a4a32eb87ef8e3ecd1dfbc,SMAC,SMAC10,650,484,32.94622160330579,24.049263840664395,8.896957762641392,0.006198347107438017,0.004132231404958678
19,405dbe9b23f9b44d0c68caeb7695fe9a54a8586b048f2f9d20678c85c092fb61,SMAC,SMAC4,545,484,23.238253498966934,23.802404893923953,0.5641513949570189,0.004132231404958678,0.004132231404958678
20,4260d8bdbec25dd0bbf0867c87a074218e3706b50024bd65db91a0a3578bb467,SMAC,SMAC10,734,484,30.6810236373967,30.664179861687956,0.01684377570874318,0.006198347107438017,0.006198347107438017
21,44537d2d77d0afe774fda89890a38256476d42ab3214f4c690221d9929177f08,ROAR,ROAR10,2000,484,35.57888062179752,36.77585282247544,1.1969722006779193,0.006198347107438017,0.008264462809917356
22,45c4d3cede4513f7dc966121e6cd146b319b6942972453d84cc236758719db70,ROAR,ROAR7,661,484,86.49817360123967,91.73401652368878,5.235842922449109,0.024793388429752067,0.026859504132231406
23,46b641a0de9fbb056f772e84bfbad975ee6e091957aaeb5b110aee431141fe89,SMAC,SMAC1,1944,484,23.484852111880166,22.929056934673678,0.5557951772064875,0.004132231404958678,0.004132231404958678
