depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,5000,173,ab387997cc32957410dc1c04c21043342b860955eb555417b872497654f9aa4a,25.60185351920476,17.732602524705705
5,1,5000,545,33084d5ca1596540cc069f57fb027887a2cb2f09e4c26d10c5594dd9eec71428,26.24328471169507,10.086999644797055
5,2,5000,537,a39f1bbac30101b216174f981782b556005f7e049e72c9a13e63a5c1d38899b1,23.623320916536734,25.79085923949156
10,0,5000,300,cc3ae23cdd0b9b5b52b01d48f400a80c26e51a2671a0a10a0d5e8a322eb380ac,24.230728807239522,20.062585236461214
10,1,5000,605,6ffa851cf506239c4dc0536cf5938114ca419d40bbd2eecc95085c646d7118e8,16.701369720672773,23.539480551363024
10,2,5000,402,ffac2f01af3f823a897da776a10891bfe53cfbed19a0478d3c0bb4603da63991,12.369494977657306,12.922178607952981
15,0,5000,308,bee1d02d292a62148e52af7135b1875084c4d3edfa10e44bbd43bba164eb6417,24.790753614557676,21.211395958559468
15,1,5000,480,7c1c3511e3e182f402f882f835cb28814cca9501d42c9298c2c798e229cea6ea,27.189506787375723,8.717251767365573
15,2,5000,347,6e7f51b09db52fd12b164321ce294d097b55298aa14bff4c16f2d1cea95283b3,19.010385003214132,14.33732529938951
20,0,5000,828,57129f26f4cf3b23e77a5582d3cf128ad6b571969cc365a7f051e2df15103fc5,24.80815155452025,23.978251591639747
20,1,5000,421,0c9e729ff489de84437fbedfd22e5ebb35c20c473d098b39bee6d2428d2cf1d7,24.23130994915485,7.506436333741612
20,2,5000,695,03d830e55d88144a517f03fa444bf31ba8de7604e05d1677141b55ae303dc7d8,18.25951386586386,62.25655929809637
30,0,5000,992,b40c998f7dc88db492c026c9e1de7322298b5e933a244472e8a840381224ba8a,16.041059255407554,15.992968462155982
30,1,5000,443,09e666dbbc28c84b2f2cf78426910c1e4ac6876624066f0068a0b06926b136ef,28.679822462410783,9.320544388586693
30,2,5000,297,842c07d89ea7769a4eabcabf438a98a159160f86137cf0840a756961e29573e4,28.896639538836503,34.97629390428664
