depth,smac_seed,fit_serial,model_training_rows,selected_proposal_count,selected_proposal_ei_mean,selected_proposal_ei_variance
5,0,0,2,8,5.733550833633457,0.0
5,0,1,26,8,5.002589155514924,0.00758395054384935
5,0,2,42,8,3.9833459890708642,0.003741418814811161
5,0,3,61,8,2.7639049171604744,0.020139081029640165
5,0,4,78,8,2.6883226074918243,0.05492870671231638
5,0,5,97,8,25.09680532977326,0.056907636490760444
5,0,6,207,8,15.459472649374867,0.04577030390401446
5,0,7,318,8,7.623987849169443,0.03605258513640068
5,0,8,340,8,7.357500722456826,0.07406704668853219
5,0,9,391,8,9.90514179918798,0.11888668723714138
5,0,10,413,8,7.340998783695413,0.046073907543014034
5,0,11,442,8,2.445265806320017,0.012236513705511216
5,0,12,484,8,2.836417037978932,0.01351032794500288
5,0,13,500,8,2.9267790801558164,0.04588925679678564
5,0,14,521,8,97.02790143298405,0.558943147977434
5,0,15,540,8,3.0452402243923316,0.008344938022762378
5,0,16,558,8,2.7904499705595813,0.06102926566012402
5,0,17,588,8,2.8025266602572305,0.00945574189381506
5,0,18,623,8,3.4659330919863174,0.01376500219901405
5,0,19,655,8,3.82770114089309,0.04254177702602245
5,0,20,676,8,3.7721106443818453,0.01674815747265011
5,0,21,862,8,3.9625575134257587,0.05087740598395863
5,0,22,1050,8,90.67121382793125,1.6337709882866174
5,0,23,1066,8,4.078781743935492,0.0672570883358489
5,0,24,1082,8,3.9892170076826563,0.05425679845246399
5,0,25,1101,8,3.7700508656869713,0.010943780036228305
5,0,26,1132,8,4.142086728283941,0.036614970834600545
5,0,27,1170,8,4.259217511974095,0.017204038313706017
5,0,28,1193,8,89.49340738031685,2.1055952385019427
5,0,29,1211,8,3.8459995946715537,0.031691965694157144
5,0,30,1227,8,3.6152714497994887,0.01197778764454913
5,0,31,1244,8,4.265628049813726,0.05544700963618492
5,0,32,1268,8,3.9122288108434757,0.0465408579579636
5,0,33,1292,8,3.8975058662375277,0.0272873487697022
5,0,34,1436,8,3.8544541187818187,0.01982534264717208
5,0,35,1459,8,4.032372189335997,0.013365806811018541
5,0,36,1482,8,4.004920454254616,0.014270881902556121
5,0,37,1502,8,3.9236794373831523,0.00515234282298969
5,0,38,1521,8,4.159571924053804,0.02355605066332677
5,0,39,1538,8,4.298910040835674,0.08214408683267138
5,0,40,1557,8,3.787301505757262,0.05557004906864062
5,0,41,1573,8,3.851011793580065,0.037788019083500525
5,0,42,1620,8,3.325696193218099,0.053927160532984846
5,0,43,1637,8,3.3934135840939796,0.043638263687775444
5,0,44,1654,8,3.364224611985966,0.07010366184250956
5,0,45,1701,8,3.2336302687687106,0.018420872729738982
5,0,46,1728,8,3.052472343544913,0.02728513585401164
5,0,47,1744,8,3.065687656803152,0.02503162128436845
5,0,48,1761,8,3.1012585926835703,0.021839540908617762
5,0,49,1791,8,3.174728312296562,0.010339202403014659
5,0,50,1808,8,3.140281641513335,0.01754036749132563
5,0,51,1824,8,3.237036433989135,0.0024030654388076922
5,0,52,1840,8,3.206170661295265,0.004473771841683126
5,0,53,1866,8,3.2805031575630004,0.014608181690792855
5,0,54,1882,8,3.4656514887545478,0.027981034410017466
5,0,55,1900,8,3.2843593258963817,0.016117498897903357
5,0,56,1919,8,3.223706232217328,0.00924390434671959
5,0,57,1936,8,3.2681406041886283,0.0025121082629669424
5,0,58,2020,8,3.5322993798966222,0.018546827928703213
5,0,59,2038,8,3.3563827151916734,0.025498696576105317
5,0,60,2061,8,3.2733909630481506,0.026089256733007715
5,0,61,2077,8,3.233352218809249,0.014967993841792721
5,0,62,2100,8,3.1563638022611222,0.010500629882575139
5,0,63,2119,8,3.334819941092519,0.0132640102444278
5,0,64,2136,8,3.222954523897119,0.043314951547886865
5,0,65,2153,8,3.2999153011504245,0.015148050523343294
5,0,66,2203,8,3.704402379238474,0.026634407955145642
5,0,67,2219,8,3.7003851895426534,0.05525102556258511
5,0,68,2235,8,3.5624045611230244,0.027370915352712646
5,0,69,2256,8,4.026164776774048,0.18982321314925565
5,0,70,2273,8,3.6343450595800135,0.0023333695333399426
5,0,71,2289,8,3.558848401243016,0.024467795506663302
5,0,72,2314,8,3.8611714598037667,0.05804112129262993
5,0,73,2333,8,3.6920173934271343,0.008059217675645054
5,0,74,2352,8,3.6569645379565014,0.01159265682850105
5,0,75,2369,8,3.1259965436928523,0.005489027548346069
5,0,76,2389,8,3.9027390125907533,0.05635944134033903
5,0,77,2407,8,3.859205646503799,0.06506564022287857
5,0,78,2424,8,3.958879400014533,0.07825534453547889
5,0,79,2443,8,4.0958828688321125,0.0589573860794034
5,0,80,2459,8,4.089279337851601,0.033682222979239104
5,0,81,2494,8,4.051012889872237,0.028630456822500042
5,0,82,2511,8,4.168210127644214,0.06757128230222054
5,0,83,2530,8,3.7011804610110834,0.10943389851468974
5,0,84,2546,8,3.5803552711994566,0.10930250361126888
5,0,85,2562,8,2.8399743814259866,0.05235706058476877
5,0,86,2582,8,3.064719773750816,0.13358588012287168
5,0,87,2598,8,3.1216479292462616,0.0515691318077258
5,0,88,2617,8,3.0488555552766603,0.010735275193838406
5,0,89,2634,8,3.043242239678285,0.08889243516589168
5,0,90,2650,8,3.1847400580052465,0.031738829245613276
5,0,91,2666,8,3.5260326261934023,0.007841855202041384
5,0,92,2697,8,3.1617691310266838,0.02335272016133391
5,0,93,2714,8,3.296534499206681,0.05366978824519182
5,0,94,2730,8,3.305449639250598,0.020257821484799928
5,0,95,2747,8,3.19894677279793,0.013218938737911249
5,0,96,2765,8,3.059762140889181,0.10295352995978961
5,0,97,2782,8,118.61584366432584,1.102244415547491
5,0,98,2801,8,90.42525564087082,7.762057005586963
5,0,99,2817,8,128.9200143589061,2538.283734850148
5,0,100,2833,8,86.45886550264164,1190.8799243049612
5,0,101,2856,8,101.61592041397074,2593.5239853168323
5,0,102,2875,8,141.3173342315973,263.8303179015941
5,0,103,2894,8,86.90624802940408,0.4235297933924239
5,0,104,2910,8,65.66312300856428,1297.6931129359089
5,0,105,2927,8,78.59491625654655,73.2026794793973
5,0,106,2944,8,134.86187720572985,0.32473525945815696
5,0,107,2965,8,51.41705080655284,991.9935874053176
5,0,108,2988,8,89.01174883623506,110.2931789944923
5,0,109,3004,8,48.07983082562454,590.8697776520137
5,0,110,3020,8,44.26197505483762,16.325719960355148
5,0,111,3043,8,59.75278106615812,522.5366875075458
5,0,112,3060,8,44.45263502916946,664.3734711109129
5,0,113,3076,8,40.97924411846765,259.9818744098829
5,0,114,3095,8,39.079046085324734,229.15836191170348
5,0,115,3112,8,20.901880082006517,61.4660288032819
5,0,116,3135,8,23.42439736526604,152.08021338619477
5,0,117,3152,8,49.32966856524985,173.43783820101967
5,0,118,3171,8,39.67513955139917,983.149807091261
5,0,119,3188,8,26.49204605152251,352.0990012036139
5,0,120,3207,8,36.36781042622508,916.1898278648661
5,0,121,3227,8,19.373081268089077,86.22401398271062
5,0,122,3243,8,131.6233930954542,16.693976531591698
5,0,123,3262,8,125.60545627944765,13.718776614334436
5,0,124,3281,8,85.81337232736271,80.71938132859506
5,0,125,3297,8,43.91277167672818,1193.3337005693752
5,0,126,3313,8,40.06696475831558,563.7980986905276
5,0,127,3329,8,188.75778489550274,5.072521905621128
5,0,128,3352,8,25.087770751426895,256.33838357142787
5,0,129,3383,8,25.57826056013017,69.15494210169136
5,0,130,3399,8,20.48264804934284,169.7085525595708
5,0,131,3419,8,16.127528033001504,2.370611856355899
5,0,132,3436,8,26.02135134479348,204.47777628272527
5,0,133,3452,8,17.199044959883754,14.377407267094
5,0,134,3468,8,32.417211924164036,421.78339076566124
5,0,135,3490,8,47.900835442482176,136.75019442204191
5,0,136,3506,8,15.079198885840281,0.8323945759710496
5,0,137,3522,8,13.631287495707054,1.3064200369098475
5,0,138,3539,8,27.07095434510131,521.0998969610758
5,0,139,3559,8,190.37606828020748,233.7905880520566
5,0,140,3590,8,71.5684126762517,3383.160502815206
5,0,141,3607,8,53.4867912077831,384.9401230268767
5,0,142,3624,8,115.55730316468069,0.33574287354580823
5,0,143,3640,8,21.419095118202303,136.7104000173461
5,0,144,3659,8,121.48272751093114,119.64284943072494
5,0,145,3676,8,78.69846109221679,1206.9502848759284
5,0,146,3692,8,74.77121345804568,640.8800861309021
5,0,147,3708,8,87.94282385561222,127.78156810065929
5,0,148,3731,8,90.76735790905292,1420.7469093407765
5,0,149,3747,8,98.59068131257727,154.00030280022946
5,0,150,3766,8,56.129197073336265,1087.2018312575433
5,0,151,3783,8,89.44517846493027,308.4686607707072
5,0,152,3799,8,40.559385805524094,222.69485534018727
5,0,153,3815,8,38.069555078942706,477.1065256744949
5,0,154,3838,8,96.74629976339796,140.3280225393143
5,0,155,3854,8,90.89164986183661,2.7718211118849223
5,0,156,3873,8,61.80260903412518,395.8871900391553
5,0,157,3890,8,41.003923676288174,224.76006730349434
5,0,158,3915,8,43.560719566076,545.6074187052752
5,0,159,3932,8,29.646185414849544,193.52010914450452
5,0,160,3951,8,57.19005199825751,599.1966312373263
5,0,161,3967,8,32.305486865931485,145.79472918891454
5,0,162,3983,8,80.76062577108577,26.565969281984202
5,0,163,3999,8,38.28058392852491,1078.947577405062
5,0,164,4015,8,32.16750883086663,556.2565043689818
5,0,165,4031,8,43.95354662944007,905.835664115234
5,0,166,4054,8,27.346697114046954,326.3931982018983
5,0,167,4074,8,21.74186836974288,352.81773707689086
5,0,168,4090,8,24.075286049462722,197.9222204546857
5,0,169,4109,8,87.04049746096983,5.292466679997667
5,0,170,4127,8,88.83381946492051,0.08872246462295871
5,0,171,4143,8,50.872514593375016,140.4514900826499
5,0,172,4160,8,67.24338046903364,60.9010413561414
5,0,173,4176,8,26.37034067598549,37.23802213928835
5,0,174,4192,8,49.21302459693564,993.2102000141748
5,0,175,4223,8,25.612665333439022,597.8078555983576
5,0,176,4239,8,33.8567166331337,598.8951781261949
5,0,177,4258,8,20.471863160481604,101.47475813572989
5,0,178,4274,8,18.2083792801459,59.97844774451905
5,0,179,4290,8,57.60247346711259,563.6332439296511
5,0,180,4308,8,83.20402487321502,2.1142282699483017
5,0,181,4324,8,65.37216025871818,111.95162184643407
5,0,182,4343,8,39.31685927836186,444.39284382202413
5,0,183,4359,8,60.533742402461655,414.30271504759276
5,0,184,4375,8,57.65173708761366,938.1904364749587
5,0,185,4395,8,19.736765085650898,4.688406547357497
5,0,186,4411,8,22.77264351922361,463.9984302916571
5,0,187,4431,8,15.952859219164488,45.6422674276921
5,0,188,4447,8,12.59344240923292,7.796442212310279
5,0,189,4463,8,21.953382948949344,237.39342115566393
5,0,190,4479,8,52.4553512162225,163.17202275101363
5,0,191,4495,8,35.71117490852231,247.58566352321714
5,0,192,4515,8,26.848512548778274,373.2330715125993
5,0,193,4534,8,11.812622274445152,2.858630290761572
5,0,194,4550,8,15.05850729315333,27.309804509514898
5,0,195,4566,8,70.04160990075593,11.026135099203637
5,0,196,4582,8,14.52965118896334,42.607930347735355
5,0,197,4599,8,9.884942999257378,1.0282698019990328
5,0,198,4650,8,26.19052004136394,45.97108115058863
5,0,199,4666,8,22.35998993353202,72.71295519914935
5,0,200,4683,8,63.12318673201401,2178.766178795451
5,0,201,4699,8,35.43055789672327,2300.7321010632822
5,0,202,4715,8,27.935900380419945,1528.2777049816016
5,0,203,4731,8,15.44156891255809,31.81956565558273
5,0,204,4747,8,56.24482921315728,1887.0236864863234
5,0,205,4763,8,29.256469170239424,1338.4157579023592
5,0,206,4779,8,29.76425376050439,2035.874047928397
5,0,207,4795,8,25.772087808669134,1572.9287325564187
5,0,208,4819,8,23.916061632510214,1032.792534418031
5,0,209,4838,8,13.368549328782882,47.92483613701945
5,0,210,4854,8,17.36666987986483,201.72673036026112
5,0,211,4877,8,31.50407288801471,51.59577499361738
5,0,212,4894,8,155.39800721068912,4551.058108779224
5,0,213,4911,8,78.2938649180701,1554.9178415145493
5,0,214,4927,8,77.7787331437878,967.3333956837196
5,0,215,4944,8,18.14854485394169,42.83720670302714
5,0,216,4960,8,14.810393952114499,1.0055490702324987
5,0,217,4976,5,29.314167777432978,734.818844539622
10,0,0,2,8,5.733550833633457,0.0
10,0,1,26,8,5.007727537843906,0.006144714727356122
10,0,2,43,8,3.4942716334724837,0.004047418294900298
10,0,3,61,8,3.4005231952615187,0.004293545747580368
