depth,smac_seed,proposal_trial,model_training_rows,fit_serial,configuration_fingerprint,expected_improvement,predicted_full_training_par10,prediction_variance,prediction_standard_deviation,actual_full_training_par10,signed_error,absolute_error,standardized_error,average_actual_tree_depth
5,2,3,2,0,923fb8984a664011c61e1e40e4200b728bddc741755ba73e9c41f74911171bb2,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,51.288920228488834,-1462.5261266105229,1462.5261266105229,-1.2461799043346982,0.5
5,2,6,2,0,7ed937742987453e92c54f63da2dc247a0cb5b5ae0c36998bc33126bb106aede,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,79.01376307554051,-1434.8012837634712,1434.8012837634712,-1.2225562976324338,0.5
5,2,10,2,0,e4ce380c33ea6f74b315ff3ccabf490514a24f78b2a8a7201c9e94c12f0cda2f,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,127.86204633657428,-1385.9530005024376,1385.9530005024376,-1.1809339649755621,0.5
5,2,13,2,0,695436b9679f747434075d49ab5d9fd974b4c054f4af6004cad3f289c841434e,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,145.48991508184247,-1368.3251317571694,1368.3251317571694,-1.1659137233628438,0.5
5,2,16,2,0,4541fd066ab7df1e6d6e688f4eb301ff86b0898298a0e3e281e1b4f45b2f4430,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,111.99482796099498,-1401.8202188780167,1401.8202188780167,-1.1944540028863806,0.5
5,2,18,2,0,833c3b5bfc0f87094f994d0fa3ad503e749dec278b20cbeef3e49efeff2ff3e9,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,92.44694562733542,-1421.3681012116763,1421.3681012116763,-1.2111102373927425,0.5
5,2,20,2,0,d0c7e354c7677b73af91bab062e765d146ae19f9074a5be0924c6d739b032d30,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,78.98621006097937,-1434.8288367780324,1434.8288367780324,-1.2225797748287894,0.5
5,2,22,2,0,09f797b608650d6cef219d0517bf193ca87a7de060c315a00dbb363cdf0877e8,468.20166660300293,1513.8150468390118,1377354.6479373688,1173.607535736444,95.09980755924316,-1418.7152392797686,1418.7152392797686,-1.2088498037715123,0.5
5,2,24,23,1,7efd3860049017aea4ed803a6b19a99d5d5bf6cf35c1755c9bd7ac4e6f475fc9,205.05471175100573,503.6340363003253,903270.6959623704,950.4055428933326,145.20160693706066,-358.43242936326465,358.43242936326465,-0.37713629938655857,5.0
5,2,26,23,1,8027c2e4af27941afe8aa86f4940d0aa20834d96995922997cbed2ac85c0e13b,204.89084852388427,491.7438928186702,881944.1837362282,939.1188336606972,134.04221038335612,-357.70168243531407,357.70168243531407,-0.38089075590251803,5.0
5,2,28,23,1,f801e3e8696c80914172e419f16ac919553e2d69112a8b05b8b6f74f1ecce56d,204.8795460858748,566.2955031975256,1012378.5797914874,1006.1702538792764,146.32426845402387,-419.9712347435017,419.9712347435017,-0.41739579670966026,5.0
5,2,30,23,1,56b331810bfb79d99a89245b021190e96e02dc92320e543dba4db1f06f9ba735,204.5605881136068,457.1400713173719,821511.6115487791,906.37277736524,36.55644404577199,-420.58362727159994,420.58362727159994,-0.4640294123729158,5.0
5,2,32,23,1,b5cb7fe6e13501775313d75d2a1e1b35e5edc6dfc3001f3b5e312942be6951ab,204.42866023295403,377.8394084360084,690713.5783935967,831.0917990171704,104.50117777500394,-273.33823066100445,273.33823066100445,-0.3288905401115109,5.0
5,2,34,23,1,227978a25c47be14267b120f0b15e3f01414c082d3bb9c97deb9ffef5967c5f4,204.05052687109938,463.94038602662056,830415.9973808526,911.271637537816,138.2810015682716,-325.659384458349,325.659384458349,-0.3573680679212786,5.0
5,2,36,23,1,9350e36771102be9dbe904ebf8c18658f5ed300b8ee98b30d3ae4708b980ffe7,203.99774920710738,398.8932434168773,722695.9476683434,850.1152555202991,138.15482095313405,-260.73842246374323,260.73842246374323,-0.3067094970600928,5.0
5,2,38,23,1,4f1c5a464da58f12cbdad3073315491dfde460dbc24c67bacb3f50b00bd67ce1,203.4764018033252,449.1009453981944,802729.4501026082,895.9517007643929,92.9559157590174,-356.14502963917704,356.14502963917704,-0.3975047196576861,5.0
5,2,40,39,2,6e4f3debcad9662482c8fd6669d33757ce5be045955296e16c058e4152559f9b,204.2858209308215,479.9500639430214,922405.7654003378,960.4195777889671,73.82294990530637,-406.12711403771505,406.12711403771505,-0.4228642599859135,5.0
5,2,57,39,2,217092558b35f689c596b12ee75d9d54f1622700cfbc8696fc69bd782152dc3a,203.17286292423967,482.0848923115846,920167.2482042889,959.2534848538675,73.62986129092452,-408.4550310206601,408.4550310206601,-0.4258051051885249,5.0
5,2,59,39,2,5950367bd746b23aace53890a16b39bbeed489082de2eb3401811fa76a1ece01,203.1576341387362,436.14903060088864,841604.127733471,917.3898450132697,106.34607744869615,-329.80295315219246,329.80295315219246,-0.3595014212822707,5.0
5,2,64,39,2,b506bfdde1e2b20574f869c0ff51c44a47a7a671d7a295814036f5d8b7938a8e,202.80584772003454,482.69928735779257,919271.6823954873,958.7865676966314,63.483574903119845,-419.2157124546727,419.2157124546727,-0.4372356962215143,5.0
5,2,66,39,2,fcaba7ffa0e05178bf98f44064bc1833db25f26870ac0ed10c3c58acfb321278,202.75153503524442,438.260650732744,843118.1206858617,918.2146375907224,105.31397287312834,-332.94667785961565,332.94667785961565,-0.3626022328866648,5.0
5,2,69,39,2,1adbcf2f580146d2ddbd0cc02ba00f44e0264391cf04a50c58b6c0fc677dd479,202.67869121521278,448.73995351962054,860467.799604551,927.6140359031612,111.05585425572224,-337.6840992638983,337.6840992638983,-0.3640351333570712,5.0
5,2,71,39,2,c21d374220dac747c2790ad1ef2a57acea8516ce56ea89e24be228ddb44608d0,202.56794202222963,438.52471793633515,842636.9810248609,917.9526028204621,119.87670654092707,-318.64801139540805,318.64801139540805,-0.3471290461145202,5.0
5,2,80,39,2,34348c7ee74954a4f3b2c76e89fca3fb7c9fab17ec4af87517a1d66e366a10f1,202.43236115344234,449.5716450254871,860618.048210381,927.6950189638732,58.744313125140685,-390.8273319003464,390.8273319003464,-0.42128859583277145,5.0
5,2,82,81,3,979b36375b8c42fa4faa9d45bee670c54c408310563ec7ab7d877b238b40476b,227.72406298071235,465.99415140293223,1049628.777194232,1024.5139224013658,96.11697928736771,-369.8771721155645,369.8771721155645,-0.3610269846295565,5.0
5,2,84,81,3,f41dda833c7fe90df61498994704d4569ca015f72e9659bda07121017d77ae50,225.93291219602753,366.66658411808885,858077.0046944888,926.3244597302227,79.14727039846845,-287.5193137196204,287.5193137196204,-0.3103872630151166,5.0
5,2,86,81,3,66091689595b91a13b824a7256cd5e8ce7870bd174a15d47f9633b3eb85da9dc,225.00767378582296,368.50459851105944,856755.3671480608,925.6108076011542,91.99056335745287,-276.5140351536066,276.5140351536066,-0.29873682641004395,5.0
5,2,88,81,3,fd6300458d936a5187cdb34fedb0dcccf78772c3fc720109481711b2d66e6454,224.92463453101206,405.44844520857345,922560.0910070075,960.4999172342533,125.75306883313085,-279.6953763754426,279.6953763754426,-0.29119771002252837,5.0
5,2,90,81,3,8827d930749c0397f2199fc168937a181afe3948be8f32a0da8a23a79e59e4e1,224.71447273565101,405.80055141699285,922105.8109683649,960.2634070755612,127.6957805757988,-278.10477084119407,278.10477084119407,-0.28961300492346115,5.0
5,2,92,81,3,22a7a867494bab4f41f514a5d15406fd38a992cdbf954eeb945a0a09c2b2f52a,224.24675673986292,370.0810946210384,855777.599197386,925.0824823751587,88.85201358456118,-281.2290810364772,281.2290810364772,-0.30400433085103795,5.0
5,2,94,81,3,10f8f25597a4bea51d42070fb22714683bea80b607ed611a825e1566dc25d3e2,224.2068996634968,370.2330089327333,855849.0383771777,925.1210938991596,105.14866922987424,-265.08433970285904,265.08433970285904,-0.2865401529064625,5.0
5,2,96,81,3,41eb3ecdf5e8e63344f2b88fc8dbe5b824ed6b950117e4752da94243367c8ff7,224.19850536085005,370.18811642584274,855727.8962388657,925.0556179164936,73.65459688347264,-296.5335195423701,296.5335195423701,-0.3205575035696272,5.0
5,2,98,97,4,5b96b5419d62ea6c1aba0ff50eed26617a3848a43757ff5e301848e30a6db178,214.1348878197222,359.0511445025142,792551.443455428,890.2535837925215,113.41589935617675,-245.63524514633747,245.63524514633747,-0.27591604192135905,5.0
5,2,100,97,4,5d554cec4b6672f002c2c5400dc49f76c78786c6ab6737c249a03ee7a1d45446,213.34351599513673,360.5603411129199,791328.5526603302,889.5664970424247,85.91217730419079,-274.6481638087291,274.6481638087291,-0.3087438260342113,5.0
5,2,105,97,4,fb8dcbed1500b93c101b83777f82a607cc00a9bdae0286c240c7b931c9f05c32,212.26530651011967,362.77510440618045,789921.8832298322,888.7754965286972,138.63922844684782,-224.13587595933262,224.13587595933262,-0.25218503079207655,5.0
5,2,107,97,4,61a7bc14a5c314760b3313b2c53d5631ac80551a0985498a8c24d26dd6a0eab8,212.16260680559907,362.97877982148884,789775.0006484655,888.6928606939889,116.18764355784852,-246.79113626364034,246.79113626364034,-0.2777012702351617,5.0
5,2,110,97,4,202e2be0c8f03a84b2d21f16cecd5a9d85ebc0c551af42f2bd87ffb184e1382e,212.11966020854493,363.2868255979595,790090.1494795019,888.8701533292149,90.73656197255555,-272.55026362540394,272.55026362540394,-0.30662550947917616,5.0
5,2,112,97,4,2e1a6276751b7189cad5d0ca0c58da7a21ea29f2e08bf9be4d66c09e9197e9f0,211.08805522352313,365.3135507808981,788575.6367660416,888.0178133157249,133.3699253985258,-231.9436253823723,231.9436253823723,-0.2611925367987042,5.0
5,2,114,97,4,7ce1470dac19cf3eb56991805cd0c06f6aa7035518d5ccc93bcb2011d068512c,211.00065750073463,365.56404382934886,788579.635459942,888.0200647845419,108.00011128757903,-257.5639325417698,257.5639325417698,-0.2900429199246325,5.0
5,2,116,97,4,8ec29629272dd7f7bf7108e4690f88a0aa9409fe8f11b33019aaceeb31db0d6c,210.79938980447082,365.89401757795036,788172.5992800441,887.7908533433109,109.02079266665334,-256.87322491129703,256.87322491129703,-0.2893397965792778,5.0
5,2,118,117,5,05408474ef11fa96ee46aefa3c2eb64fafb2191ba1fa9fd23da4cf1cc445c052,193.91555225829,317.0807671144931,632735.0416550821,795.4464417263315,102.81541586947081,-214.26535124502226,214.26535124502226,-0.269364900017667,5.0
5,2,120,117,5,9b417c3cfc0d92d91f468210256bcec9e361832d112fd264ff8dab1797b8938b,192.96988361673408,639.8415239374707,1168767.5319905109,1081.0955239896755,107.30946634548586,-532.5320575919849,532.5320575919849,-0.4925855724818176,5.0
5,2,122,117,5,36a345a75653f76ba53a6536fb742cf5f9f3a7759d90c70611bac30117121acf,192.9405096348144,639.90803532432,1168701.7390866398,1081.0650947499137,77.37695728818893,-562.5310780361311,562.5310780361311,-0.5203489417686391,5.0
5,2,124,117,5,29a006a01162ad298881e47ad2ac558e57e1ce1bead51e7a2ad80a86a5966939,192.39873370158688,641.0856050307041,1167396.778048051,1080.4613727700084,70.72802175821597,-570.3575832724881,570.3575832724881,-0.5278833632064484,5.0
5,2,127,117,5,a8d6bd6612ef066ff9d173ebe0aead413909f3899ec82dc2b63bcbe86ddb0695,192.17400821054568,641.5459481855682,1166803.3409324202,1080.1867157729816,144.87174784748868,-496.6742003380796,496.6742003380796,-0.45980402562408806,5.0
5,2,129,117,5,8e6185f48206b57a172a41460d28868ae318cd86c1e69dc20ac473156f33de90,192.13195619230092,641.6389861693933,1166704.7385050778,1080.1410734274841,124.83363671049722,-516.8053494588961,516.8053494588961,-0.4784609734531978,5.0
5,2,131,117,5,b999be924e99aabc7718fc6814167b156a359055c5e948afbbafce0ddc8c3d35,192.06190478706355,641.7616375940568,1166481.7698990447,1080.0378557712895,101.25738056780278,-540.504257026254,540.504257026254,-0.5004493630829844,5.0
5,2,133,117,5,dcd901df26b2f9fc64169ac30817fce4a752e15df186f04e399fb6a2dd126b47,191.5983100765783,642.7751458339068,1165370.7196305795,1079.523376139016,139.87563867713055,-502.8995071567762,502.8995071567762,-0.46585328143187443,5.0
5,2,135,134,6,99ff187dcfb73f70905dae6fff8aac8f966f87df8f19f25f6e9c8b5d20f3ffe6,153.9332064662648,1038.4399721706664,1479780.3204983405,1216.4622149899851,101.65061862942231,-936.789353541244,936.789353541244,-0.7700932606023907,5.0
5,2,144,134,6,36dc5704f750389c8ee9feadab336f2381a65582c4fd7111ffaa0513190f7efa,153.34849716482304,1039.7221667145402,1477298.0358285808,1215.4414983159745,120.16730865978536,-919.5548580547548,919.5548580547548,-0.7565603604359583,5.0
