method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Fixed depth 10,fixed_depth_10,fixed depth,0,1,1,b6eb40fb815149f4e6d252f93c7f1839b991c5bd0509407e0bf505b4cc1c5793,619.2101965492576,0.2505379915237427,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,11,4,8bb4d40ae5c48e9723e3f9739ca292c19a6ae5258ba4344161b9019b0cad2740,84.52940810149659,8.823108518496156,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,17,5,8bc73c07546f13cca3bc39c30667f30aae9d4e117de10a756604d653427b9c44,73.32771790064564,2.122026813030243,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,122,35,9b73ecb0fc44bbbb3da424cd73065a0e85d8e7c5dd6cc78c871947a31eef6adc,36.61721917413452,6.326377681749207,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,196,47,7a81941f6dda0348ba729ca63093b89ef7152183829faab65bbfcd2deb51505c,64.53846547985835,6.838347272273708,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,871,205,a5a708ade5bf39ffe42d58aefa10d099683a4f98210cdf109890d6965fe8db8b,26.948450264401643,24.28925571057309,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,1141,221,b904d14cbef565a0d16d383a8337c94f5f04d576054f86298fe74d9430534df1,25.833023415216484,24.501564768484343,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,1691,300,cc3ae23cdd0b9b5b52b01d48f400a80c26e51a2671a0a10a0d5e8a322eb380ac,24.23072880723952,20.062585236461214,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,5000,300,cc3ae23cdd0b9b5b52b01d48f400a80c26e51a2671a0a10a0d5e8a322eb380ac,24.23072880723952,20.062585236461214,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,1,1,b6eb40fb815149f4e6d252f93c7f1839b991c5bd0509407e0bf505b4cc1c5793,619.2101965492576,0.2505379915237427,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,11,4,8bb4d40ae5c48e9723e3f9739ca292c19a6ae5258ba4344161b9019b0cad2740,84.52940810149659,8.823108518496156,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,17,5,8bc73c07546f13cca3bc39c30667f30aae9d4e117de10a756604d653427b9c44,73.32771790064564,2.122026813030243,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,122,35,9b73ecb0fc44bbbb3da424cd73065a0e85d8e7c5dd6cc78c871947a31eef6adc,36.61721917413452,6.326377681749207,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,166,38,cf9a7f52d325332d13fc25f510bd14b44dc692a95a003072b129477112c46cf2,28.83789370275172,5.826295920304562,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,302,62,0e2fb3ea40940562e5e9039c04d511bbba2eb4f224416e09aa921f8cbb34a8f8,26.675847247242928,6.971534145455206,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,1435,308,bee1d02d292a62148e52af7135b1875084c4d3edfa10e44bbd43bba164eb6417,24.79075361455768,21.211395958559468,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,5000,308,bee1d02d292a62148e52af7135b1875084c4d3edfa10e44bbd43bba164eb6417,24.79075361455768,21.211395958559468,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,1,1,b6eb40fb815149f4e6d252f93c7f1839b991c5bd0509407e0bf505b4cc1c5793,619.2101965492576,0.2505379915237427,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,11,4,8bb4d40ae5c48e9723e3f9739ca292c19a6ae5258ba4344161b9019b0cad2740,84.52940810149659,8.823108518496156,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,17,5,8bc73c07546f13cca3bc39c30667f30aae9d4e117de10a756604d653427b9c44,73.32771790064564,2.122026813030243,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,122,35,9b73ecb0fc44bbbb3da424cd73065a0e85d8e7c5dd6cc78c871947a31eef6adc,36.61721917413452,6.326377681749207,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,166,38,cf9a7f52d325332d13fc25f510bd14b44dc692a95a003072b129477112c46cf2,28.83789370275172,5.826295920304562,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,302,62,0e2fb3ea40940562e5e9039c04d511bbba2eb4f224416e09aa921f8cbb34a8f8,26.675847247242928,6.971534145455206,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,979,198,0ca4bb8c9c2217592de5d63a8e1359dc14f17dec5d8746a97d7dd9c40334b3a6,25.461509326088034,13.838849662972445,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,3882,828,57129f26f4cf3b23e77a5582d3cf128ad6b571969cc365a7f051e2df15103fc5,24.80815155452025,23.978251591639747,True,5000
