smac_seed,common_trial,method,family,full_training_par10
0,2314,Fixed depth 5,fixed depth,25.60185351920476
0,2314,Fixed depth 10,fixed depth,24.23072880723952
0,2314,Fixed depth 15,fixed depth,24.79075361455768
0,2314,Fixed depth 20,fixed depth,25.461509326088034
0,2314,Fixed depth 30,fixed depth,25.461509326088034
0,2314,Saturation k=50,adaptive policy,26.263510331018896
0,2314,Saturation k=100,adaptive policy,26.263510331018896
0,2314,Saturation k=250,adaptive policy,26.263510331018896
0,2314,Oracle depth schedule,adaptive policy,20.10765321515039
1,2150,Fixed depth 5,fixed depth,26.7935159952526
1,2150,Fixed depth 10,fixed depth,27.839016501830255
1,2150,Fixed depth 15,fixed depth,29.20040554749925
1,2150,Fixed depth 20,fixed depth,24.23130994915485
1,2150,Fixed depth 30,fixed depth,33.131504315424955
1,2150,Saturation k=250,adaptive policy,24.47725393289069
1,2150,Rotating saturation k=50,adaptive policy,25.061409999066118
1,2150,Error/variance trend,adaptive policy,24.45887629409544
1,2150,Oracle depth schedule,adaptive policy,24.47725393289069
2,2327,Fixed depth 5,fixed depth,59.379224768920594
2,2327,Fixed depth 10,fixed depth,26.39924573805183
2,2327,Fixed depth 15,fixed depth,19.01038500321413
2,2327,Fixed depth 20,fixed depth,28.896639538836503
2,2327,Fixed depth 30,fixed depth,28.896639538836503
2,2327,Saturation k=50,adaptive policy,44.4044581668005
2,2327,Saturation k=250,adaptive policy,16.90091321167867
2,2327,Rotating saturation k=50,adaptive policy,27.238637047719735
2,2327,Error/variance trend,adaptive policy,24.939556706512022
2,2327,Oracle depth schedule,adaptive policy,57.05245959507455
