method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Fixed depth 5,fixed_depth_5,fixed depth,0,5000,173,ab387997cc32957410dc1c04c21043342b860955eb555417b872497654f9aa4a,25.60185351920476,17.732602524705705,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,5000,300,cc3ae23cdd0b9b5b52b01d48f400a80c26e51a2671a0a10a0d5e8a322eb380ac,24.23072880723952,20.062585236461214,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,5000,308,bee1d02d292a62148e52af7135b1875084c4d3edfa10e44bbd43bba164eb6417,24.79075361455768,21.211395958559468,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,5000,828,57129f26f4cf3b23e77a5582d3cf128ad6b571969cc365a7f051e2df15103fc5,24.80815155452025,23.978251591639747,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,5000,992,b40c998f7dc88db492c026c9e1de7322298b5e933a244472e8a840381224ba8a,16.041059255407554,15.992968462155982,True,5000
Saturation k=50,saturation_k50,adaptive policy,0,2314,115,ca2bb273e5f39960c688966a239531c9ef59aa8f072ff27b8bed61af566be95a,26.263510331018896,13.244277052386947,False,2314
Saturation k=100,saturation_k100,adaptive policy,0,3005,115,ca2bb273e5f39960c688966a239531c9ef59aa8f072ff27b8bed61af566be95a,26.263510331018896,13.244277052386947,False,3005
Saturation k=250,saturation_k250,adaptive policy,0,2977,115,ca2bb273e5f39960c688966a239531c9ef59aa8f072ff27b8bed61af566be95a,26.263510331018896,13.244277052386947,False,2977
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,3414,250,9319d654ba6f1e597abc747c11b8cb3146afee58a60594625cdb36b33a02b8ff,20.10765321515039,18.814372689396144,False,3414
Fixed depth 5,fixed_depth_5,fixed depth,1,5000,545,33084d5ca1596540cc069f57fb027887a2cb2f09e4c26d10c5594dd9eec71428,26.24328471169507,10.086999644797055,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,5000,605,6ffa851cf506239c4dc0536cf5938114ca419d40bbd2eecc95085c646d7118e8,16.701369720672773,23.539480551363024,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,5000,480,7c1c3511e3e182f402f882f835cb28814cca9501d42c9298c2c798e229cea6ea,27.189506787375723,8.717251767365573,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,5000,421,0c9e729ff489de84437fbedfd22e5ebb35c20c473d098b39bee6d2428d2cf1d7,24.23130994915485,7.506436333741612,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,5000,443,09e666dbbc28c84b2f2cf78426910c1e4ac6876624066f0068a0b06926b136ef,28.679822462410783,9.320544388586692,True,5000
Saturation k=250,saturation_k250,adaptive policy,1,2677,39,6d9ceccf99101be3a8e60b7e61f2c72310844165f10320dce55c3711a08fad58,24.47725393289069,4.88507768086707,False,2677
Rotating saturation k=50,rotating_saturation_k50,adaptive policy,1,3667,766,5d35a1df7dc2401e6248431ba5140cd6451769b30b92a96feef49eb01945d24c,23.9377839289113,23.9377839289113,False,3667
Error/variance trend,error_variance_trend_25,adaptive policy,1,2150,133,3e18d7810eeb84ccb4504d1faa608e3a6d8e59135cae7533e67316c4cb5fa4e8,24.45887629409544,9.645657331171565,False,2150
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,1,2327,39,6d9ceccf99101be3a8e60b7e61f2c72310844165f10320dce55c3711a08fad58,24.47725393289069,4.88507768086707,False,2327
Fixed depth 5,fixed_depth_5,fixed depth,2,5000,537,a39f1bbac30101b216174f981782b556005f7e049e72c9a13e63a5c1d38899b1,23.62332091653673,25.79085923949156,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,2,5000,402,ffac2f01af3f823a897da776a10891bfe53cfbed19a0478d3c0bb4603da63991,12.369494977657306,12.92217860795298,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,2,5000,347,6e7f51b09db52fd12b164321ce294d097b55298aa14bff4c16f2d1cea95283b3,19.01038500321413,14.33732529938951,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,2,5000,695,03d830e55d88144a517f03fa444bf31ba8de7604e05d1677141b55ae303dc7d8,18.25951386586386,62.25655929809637,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,2,5000,297,842c07d89ea7769a4eabcabf438a98a159160f86137cf0840a756961e29573e4,28.896639538836503,34.97629390428664,True,5000
Saturation k=50,saturation_k50,adaptive policy,2,4277,777,239cefff49541a3fd2ebab4e0026111c001ae3a8bf15e328688471b0ee08efc7,18.076906188876052,18.076906188876052,False,4277
Saturation k=250,saturation_k250,adaptive policy,2,3489,430,62b6aa3febbce0fa778337c7203785483954285c5944d83438ef0f06d62a95b8,16.90091321167867,18.153082651887523,False,3489
Rotating saturation k=50,rotating_saturation_k50,adaptive policy,2,2974,127,2ac61577720b0f1b87aa2e14d8e06998fb5e5535a0e8ef78a50ce98f55581726,27.238637047719735,41.5777954292579,False,2974
Error/variance trend,error_variance_trend_25,adaptive policy,2,2327,250,830a9a394900ef69f1d083a0e4d9dd70f2bdc03fccaa046e80218217a473ec79,24.939556706512022,12.325780667364597,False,2327
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,2,4250,655,07adb14afbf72fff01cf9043c11fe9125008ee862c3463fe9bcb97eed90525fe,27.225021182136103,27.225021182136103,False,4250
