policy,policy_key,smac_seed,trajectory_status,observed_trials,reason
Saturation k=50,saturation_k50,0,recoverable partial run,2314,
Saturation k=50,saturation_k50,1,trajectory unavailable,3365,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Saturation k=50,saturation_k50,2,recoverable partial run,4277,
Saturation k=100,saturation_k100,0,recoverable partial run,3005,
Saturation k=100,saturation_k100,1,trajectory unavailable,2630,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Saturation k=100,saturation_k100,2,trajectory unavailable,3379,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Saturation k=250,saturation_k250,0,recoverable partial run,2977,
Saturation k=250,saturation_k250,1,recoverable partial run,2677,
Saturation k=250,saturation_k250,2,recoverable partial run,3489,
Rotating saturation k=50,rotating_saturation_k50,0,trajectory unavailable,3770,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Rotating saturation k=50,rotating_saturation_k50,1,recoverable partial run,3667,
Rotating saturation k=50,rotating_saturation_k50,2,recoverable partial run,2974,
Error/variance trend,error_variance_trend_25,0,trajectory unavailable,3178,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Error/variance trend,error_variance_trend_25,1,recoverable partial run,2150,
Error/variance trend,error_variance_trend_25,2,recoverable partial run,2327,
Oracle depth schedule,oracle_incumbent_depth,0,recoverable partial run,3414,
Oracle depth schedule,oracle_incumbent_depth,1,recoverable partial run,2327,
Oracle depth schedule,oracle_incumbent_depth,2,recoverable partial run,4250,
