depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,5000,144,243016a3124aa7e0be0b1f1ae910121f898be954d6e612db7320a70071b0d230,54.45902699762955,53.82762229670253
5,1,5000,65,0dc8f9dbded77d2783be500bcbd577f3bd92966905a5b05c78239c108c165153,58.15402252593388,42.23331772203629
5,2,5000,797,134382b83fea2018422ca73cd8fcffcfda1de80139556cc44d40f8355ed22b6d,57.08716620886698,83.53658113521121
10,0,5000,191,a84a935663e53f7420f6c2fa45b2403467cfd9a28cfb2e75c781574d318121d1,53.50139564517885,51.3761368700503
10,1,5000,284,d00493e5cdb6024bfd781bc62bd04feb3ed1ce87764c465d95839082c90411ce,60.80029613183191,43.586877232994624
10,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735
15,0,5000,340,bffac65c9a0b85782e3410d4bc97d5b25fbcb42f04e1a427eb709b5214ee3910,56.140493417344985,54.81876389298807
15,1,5000,739,564dfb9c23536ee6ced01ed0d3ce2c9902b29e92c14df8a7513ea3d6b71bd8f8,51.627437806564075,57.36673707707567
15,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735
20,0,5000,487,c7c8df7d079778917aa131e6de45b679208fc8a8c84996b921a1d512bc30b2a7,54.58859939792504,55.77533586306433
20,1,5000,423,bb19109c316754a78f5de3d281113fa6c6e609af07b475cd6373798396473f8c,54.48468195426588,56.05777024717266
20,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735
30,0,5000,105,03e54c1d8a3fe83902fd2a58ca3b87e692784afc22b4b73b566b6c1062c9afe7,55.316466684670495,43.357098496882685
30,1,5000,304,8c016fc4945909c80d06613ad2387a0ae0522e18a3e5a5e00bd501ff74bd378e,55.42830184505632,49.01883282875152
30,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735
