method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Error/variance trend,error_variance_trend_25,adaptive policy,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,162.6767120361328,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,11,4,0e6308e1062a17fcaf7b6f444d7a053b033cca6e983306ce6bdd674e9586d7f3,245.76989149029058,203.55339813232422,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,35,11,bace39dc2f180f7cf4828e3a220fcad16b8db4dcf030cfd06c26a66b815aa5bd,187.71434122920036,164.92980540882456,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,55,14,7fdad5ee03395a701b71c3f6667d2cf32a7ca33908baaafe0786ec18afc9beee,149.69825669402877,82.99959307057517,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,77,17,b2cd6a92f7193fe06e3c8e3868772964dd584c1cf89da67425482e2a1296c44f,125.71942536433538,91.6394958320786,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,102,20,7fbf38e2f5a5308c1a00c20c191efa6e4b8fd5794b4879ab3d521478d604c248,116.02644272545973,69.93975947499275,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,130,23,7d6ded795a3736fe4e0c034f7b04727f2deee35d0351003cbe758a476d50975a,63.75054346676916,24.51946610601052,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,196,36,e4405507c13278802f123557f1a8a36f39e904a95312d6ca8f5650f257bc070c,58.91477428637445,25.86201147817903,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,1735,373,f9ac00450fda797a4f433e382622ecf47b5e71d057c12453e45828f50c18ce60,55.51090008399139,55.51090008399139,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,2629,709,b36450ba31fd4785378944d93b5b27308e1f284c676dabc385db7a76d92e8305,52.947631827369335,52.947631827369335,False,3945
Error/variance trend,error_variance_trend_25,adaptive policy,0,3945,709,b36450ba31fd4785378944d93b5b27308e1f284c676dabc385db7a76d92e8305,52.947631827369335,52.947631827369335,False,3945
Fixed depth 10,fixed_depth_10,fixed depth,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,18.200740814208984,True,5000
