smac_seed,common_trial,method,family,full_training_par10
0,3945,Fixed depth 5,fixed depth,54.45902699762955
0,3945,Fixed depth 10,fixed depth,53.50139564517885
0,3945,Fixed depth 15,fixed depth,56.140493417344985
0,3945,Fixed depth 20,fixed depth,54.58859939792504
0,3945,Fixed depth 30,fixed depth,55.316466684670495
0,3945,Saturation k=50,adaptive policy,52.30686459535112
0,3945,Saturation k=100,adaptive policy,53.97380713649715
0,3945,Saturation k=250,adaptive policy,53.97380713649715
0,3945,Error/variance trend,adaptive policy,52.947631827369335
1,3349,Fixed depth 5,fixed depth,58.15402252593388
1,3349,Fixed depth 10,fixed depth,60.80029613183191
1,3349,Fixed depth 15,fixed depth,55.0875791566136
1,3349,Fixed depth 20,fixed depth,54.48468195426588
1,3349,Fixed depth 30,fixed depth,55.42830184505632
1,3349,Saturation k=100,adaptive policy,53.150136613318075
1,3349,Saturation k=250,adaptive policy,53.150136613318075
1,3349,Rotating saturation k=50,adaptive policy,53.304365233238784
1,3349,Error/variance trend,adaptive policy,51.03497198037803
2,3710,Fixed depth 5,fixed depth,57.7491483964026
2,3710,Fixed depth 10,fixed depth,51.80223480183631
2,3710,Fixed depth 15,fixed depth,51.80223480183631
2,3710,Fixed depth 20,fixed depth,51.80223480183631
2,3710,Fixed depth 30,fixed depth,51.80223480183631
2,3710,Saturation k=50,adaptive policy,54.207298198031886
2,3710,Saturation k=250,adaptive policy,54.85061600546663
2,3710,Rotating saturation k=50,adaptive policy,53.831947704528766
