method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Fixed depth 5,fixed_depth_5,fixed depth,0,5000,144,243016a3124aa7e0be0b1f1ae910121f898be954d6e612db7320a70071b0d230,54.45902699762955,53.82762229670253,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,0,5000,191,a84a935663e53f7420f6c2fa45b2403467cfd9a28cfb2e75c781574d318121d1,53.50139564517885,51.3761368700503,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,0,5000,340,bffac65c9a0b85782e3410d4bc97d5b25fbcb42f04e1a427eb709b5214ee3910,56.140493417344985,54.81876389298807,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,5000,487,c7c8df7d079778917aa131e6de45b679208fc8a8c84996b921a1d512bc30b2a7,54.58859939792504,55.77533586306433,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,5000,105,03e54c1d8a3fe83902fd2a58ca3b87e692784afc22b4b73b566b6c1062c9afe7,55.316466684670495,43.357098496882685,True,5000
Saturation k=50,saturation_k50,adaptive policy,0,4134,810,0910d7d9d1e0f2b5b9ee389d88f49be3ebefb0505546c569bb8a61fc4197bd0a,52.30686459535112,52.30686459535112,False,4134
Saturation k=100,saturation_k100,adaptive policy,0,4336,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4336
Saturation k=250,saturation_k250,adaptive policy,0,4115,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4115
Error/variance trend,error_variance_trend_25,adaptive policy,0,3945,709,b36450ba31fd4785378944d93b5b27308e1f284c676dabc385db7a76d92e8305,52.947631827369335,52.947631827369335,False,3945
Fixed depth 5,fixed_depth_5,fixed depth,1,5000,65,0dc8f9dbded77d2783be500bcbd577f3bd92966905a5b05c78239c108c165153,58.15402252593388,42.23331772203629,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,5000,284,d00493e5cdb6024bfd781bc62bd04feb3ed1ce87764c465d95839082c90411ce,60.80029613183191,43.586877232994624,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,5000,739,564dfb9c23536ee6ced01ed0d3ce2c9902b29e92c14df8a7513ea3d6b71bd8f8,51.62743780656408,57.36673707707567,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,5000,423,bb19109c316754a78f5de3d281113fa6c6e609af07b475cd6373798396473f8c,54.48468195426588,56.05777024717266,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,1,5000,304,8c016fc4945909c80d06613ad2387a0ae0522e18a3e5a5e00bd501ff74bd378e,55.42830184505632,49.01883282875152,True,5000
Saturation k=100,saturation_k100,adaptive policy,1,3370,30,3a1609294c4d8b10d066f0dc83fbf36ceee84cade01ceb47cc4006dcfbd5cd27,53.150136613318075,47.36014000326395,False,3370
Saturation k=250,saturation_k250,adaptive policy,1,3455,30,3a1609294c4d8b10d066f0dc83fbf36ceee84cade01ceb47cc4006dcfbd5cd27,53.150136613318075,47.36014000326395,False,3455
Rotating saturation k=50,rotating_saturation_k50,adaptive policy,1,4463,248,0e0ee5add77e65c9b5caafb194796afb3c4b6d55409ded288155ee63d26844af,53.304365233238784,53.304365233238784,False,4463
Error/variance trend,error_variance_trend_25,adaptive policy,1,3349,801,ec26bf03f9abd8cbfa5852f08143aa3aa25b3a19d5364ac4ccea0f31fd5612ab,51.03497198037803,51.03497198037803,False,3349
Fixed depth 5,fixed_depth_5,fixed depth,2,5000,797,134382b83fea2018422ca73cd8fcffcfda1de80139556cc44d40f8355ed22b6d,57.08716620886698,83.53658113521121,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735,True,5000
Saturation k=50,saturation_k50,adaptive policy,2,3837,949,b4b94bcdff8b95959185900a631a135c103f1872c10cb973408fc5f2307876f9,54.207298198031886,54.207298198031886,False,3837
Saturation k=250,saturation_k250,adaptive policy,2,3716,395,95b10afb561f4d5c22ddd114b1a92815ef0127a5b65004d8f1d6b0055b481551,54.85061600546663,54.85061600546663,False,3716
Rotating saturation k=50,rotating_saturation_k50,adaptive policy,2,3710,443,2bb57d2b5a7d671e9c5ceaa3ce0598935501549ec2ebb7c5fc0e5214d3734b2e,53.831947704528766,53.831947704528766,False,3710
