policy,policy_key,smac_seed,trajectory_status,observed_trials,reason
Saturation k=50,saturation_k50,0,recoverable partial run,4134,
Saturation k=50,saturation_k50,1,trajectory unavailable,3844,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Saturation k=50,saturation_k50,2,recoverable partial run,3837,
Saturation k=100,saturation_k100,0,recoverable partial run,4336,
Saturation k=100,saturation_k100,1,recoverable partial run,3370,
Saturation k=100,saturation_k100,2,trajectory unavailable,4541,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Saturation k=250,saturation_k250,0,recoverable partial run,4115,
Saturation k=250,saturation_k250,1,recoverable partial run,3455,
Saturation k=250,saturation_k250,2,recoverable partial run,3716,
Rotating saturation k=50,rotating_saturation_k50,0,trajectory unavailable,4149,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Rotating saturation k=50,rotating_saturation_k50,1,recoverable partial run,4463,
Rotating saturation k=50,rotating_saturation_k50,2,recoverable partial run,3710,
Error/variance trend,error_variance_trend_25,0,recoverable partial run,3945,
Error/variance trend,error_variance_trend_25,1,recoverable partial run,3349,
Error/variance trend,error_variance_trend_25,2,trajectory unavailable,2977,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Oracle depth schedule,oracle_incumbent_depth,0,trajectory unavailable,4238,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Oracle depth schedule,oracle_incumbent_depth,1,trajectory unavailable,3511,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
Oracle depth schedule,oracle_incumbent_depth,2,trajectory unavailable,3701,runhistory/intensifier corrupted during cluster SIGBUS: JSONDecodeError
