depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,1741,226,7d7746f2e7bcf5b401a6c6199d4717a690b733beb7e8725268fcf1db9b6a1947,148.31308019522464,160.64732010491127
5,1,1741,141,b08f8a036b6a32960bb1fdcbd9b696d9a62f6906738dbaa9aba34b73a71ae7a8,109.13804878899545,127.5072715536077
5,2,1741,275,f9f341b8fba204a32b9efd617a082c27111982be61a5fa505b81fbbd2bbc33af,105.66070991429416,90.94456219673157
10,0,1741,215,99bbe959a560b725f9bbad64215a3c12dd5ae5c8330f7a23b3b5c89ab1fad1c4,137.5135554477422,126.0541849535565
10,1,1741,174,bf4b3a374b4e3395c883edce97cb55dd0a613e8888c3983e1f360796bc6542ca,526.9294228967995,507.06817119423
10,2,1741,295,731971fc81e2aa4c3da4a0abea84e8ae54f8b9823abafe331e251d82a9e5e59d,148.15398274720317,129.61060687566209
15,0,1741,230,ec9e49d9992b88698ee0878fc48e4ec20a873315e927236966e1dbc907b0727e,140.78136722150475,136.0840820727141
15,1,1741,171,36b00d13bd96a75acc233ef6cb5e3f6f4fdc0d1bfde3a1c2abc359709ec4be82,120.03528367220753,99.93604918111835
15,2,1741,212,7c46abdb137eac5dc2617c2bef6630a32b74d2d9152097c173e165bce3fa1e58,121.0166278790946,117.00910022123804
20,0,1741,208,3e9ddeb5052efad9858f26c11bc711311dcf22bc3c0d0856cf5b10b77d2d3654,173.8836768969141,170.81315621962915
20,1,1741,193,3f354e1648943971f18552380203202de46a38362133fb319a829a093e09e784,283.9254743855409,306.5436795560807
20,2,1741,211,ac3f72c3bc48222b4d78f52d2cd353de1b0a44b90cb2b31c8ffa642f2f4ab54e,113.51543744019787,105.78537198491571
30,0,1741,194,594f1f7224ac68578cd8afe4fbe2423ed6820dc5fe324e0b32f3ec64ac59d0bb,148.6235368381847,140.8372808227834
30,1,1741,125,ae53b968f44542dc6ed8be79ef69614c09582ffbab0dce59fdbc11931efbbb3f,196.7650726780747,188.1316126308441
30,2,1741,173,815dad514b27a2c534d1d243b0d92efb9b84ef52a4fb1e1a4674184eb67616a1,147.9919477612081,137.4147097292663
