depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,1,1,f62228dd6b640e14f5d1cfc33548f2095554e5cc2b72e0c56e055c2f17135eb5,1872.3081074261906,249.96385192871094
5,0,7,3,3c0ddd02ac64b281e45a28f3fcbb017f79261adc249c48f7076e5ded80dc71b1,1819.568278333876,3185.6914418538413
5,0,39,13,678a49865640f0e91854de77965c430b388cb6381feec3bcd462b1e788f9750c,534.576040874828,450.35107509906476
5,0,66,18,64efb868620741af7d00096d5d8e54acbf877f2fb10647dfede3690fb8b2859b,394.60576112727927,297.53246614668103
5,0,86,19,ad609890c8b6ec82f924dda27eabcf824cbe2d93377585eb727a73e5c0540d3a,340.81748768295904,234.74480026646665
5,0,318,87,fc5c4a0d7b8f1af0b7925497f4c77d2d17257d700a82f31283808c66bad0c8cd,228.49897794049195,260.0296656071455
5,0,416,91,fe75e66cfc03a89551e8e4e5dc846cf9e5feed80f90cdf9b7d6f8cfb267d2de2,226.03851234021812,256.78763638747915
5,0,518,95,a0b94484d64fc2ff3e58be4a6f25c538a22d99d3e3f17ca3d70aba11ead1b1c3,210.1400362727618,235.49711604369315
5,0,802,152,1e07062b23eb0aae2febceffdc04da2270f2d991bde547e2bce473c8c642c38d,180.53985277185535,207.6577965334842
5,0,1000,165,8b667f1084955778a2082a822a6134098195b00aa7df0d5840e6ec486b0cb8d5,176.0241874208354,205.0532458449855
5,0,1528,226,7d7746f2e7bcf5b401a6c6199d4717a690b733beb7e8725268fcf1db9b6a1947,148.31308019522464,160.64732010491127
5,0,2182,226,7d7746f2e7bcf5b401a6c6199d4717a690b733beb7e8725268fcf1db9b6a1947,148.31308019522464,160.64732010491127
5,1,1,1,f62228dd6b640e14f5d1cfc33548f2095554e5cc2b72e0c56e055c2f17135eb5,1872.3081074261906,2163.561767578125
5,1,7,3,285e57f39ca8e16a1a5cd08c6550db48cc7d2a9502bc0491de575fcb5d3d26b4,1483.5922081070717,1496.0010375976562
5,1,21,7,e16bc25a7a2f2a6b166fd337ceba0856740db18a1dcf86255db2fa72f92810a3,1227.2794597741329,1583.4436525617327
5,1,60,18,d5201286ba4dd41f92bd4d27d085c6622dc8935faf90047ef92974cdaec7053e,1210.7394605694394,1072.583043416341
5,1,86,21,b14592bc032cdf825a9b5a972ef8469e45c456982c10dc56c58dcb9a4f5a0e93,581.0262715060302,570.8618045534406
5,1,112,23,fbb3c821754d55da9a2fc174e662fa9947476e20a84261f1ce685e94fb0ab337,511.9416949281789,463.55008730681044
5,1,183,36,7540fe69d153b72a87b13ce201a55a1881258910c88a887ad53bccd2fadfbffe,399.2809345062333,482.68608530362445
5,1,221,37,55b65d9bfe2aa29e411c482267d7048d38a748935c8c39b72173d25bc2538eb9,329.83476623188363,372.53903940561656
5,1,337,53,6748db8c638db215664afbb0c83f9b40fbf0aae1c7d03a7dfd3db5713a6b6732,266.5197840536484,272.008857205229
5,1,488,81,23c14ec9ad79eb9c64a018c85a1288cb8dd132471d6db48a29d258b7e94eb65c,138.564758495851,162.8005250353872
5,1,735,132,5fdc5ecbafd66392cc8a82c10d67f54f80ea6adbb41efc7a032272b2208522c7,115.63173744606249,140.73558657819575
