depth,smac_seed,fit_serial,model_training_rows,selected_proposal_count,selected_proposal_ei_mean,selected_proposal_ei_variance
5,1,0,2,8,50.98713617991691,0.0
5,1,1,26,8,410.83745887771755,2228.3679272559425
5,1,2,42,8,375.87883065658366,3498.897646864566
5,1,3,117,8,418.4626352155991,4642.558308036182
5,1,4,136,8,386.5549181251922,69.87288613873464
5,1,5,231,8,385.5238358400741,88.52693191133181
5,1,6,247,8,407.00487309096263,0.3136941555958498
5,1,7,346,8,329.36697238874495,442.4405210860184
5,1,8,362,8,348.54339557321254,325.2112409933293
5,1,9,390,8,249.09188897166985,364.4489552143407
5,1,10,489,8,277.25197473632915,432.30205726476805
5,1,11,505,8,215.2822441218053,644.5772513267206
5,1,12,525,8,399.6436487593304,1.462739241084883
5,1,13,541,8,193.6398554779189,66.21586824569799
5,1,14,564,8,189.78659010964782,725.1342215200156
5,1,15,583,8,165.92806344151035,126.55585885440266
5,1,16,599,8,142.06811172059963,25.351267171040075
5,1,17,746,8,177.49341587097882,882.9366003285897
5,1,18,903,8,162.52398090230142,31.64733660762959
5,1,19,919,8,149.06553880155326,67.5773324735998
5,1,20,939,8,112.27865599989887,17.76273950835193
5,1,21,970,8,105.4352972975751,144.98571589441923
5,1,22,986,8,135.65618490084975,283.0662452719513
5,1,23,1015,8,111.91580823801446,35.09032502841039
5,1,24,1036,8,128.14232388470927,445.0325946645002
5,1,25,1052,8,161.05184742565157,186.40397027122594
5,1,26,1068,8,96.33366430061658,109.36256821214485
5,1,27,1087,8,173.13301989702344,106.13257801274497
5,1,28,1113,8,64.1735150799467,10.439774420240338
5,1,29,1137,8,62.08129152233176,23.013148062183355
5,1,30,1154,8,64.74560558038328,274.8576958115113
5,1,31,1170,8,58.11618329483481,5.7072196047469586
5,1,32,1189,8,55.980565790612715,244.0431762015913
5,1,33,1205,8,52.12720224592928,225.52495752866955
5,1,34,1221,8,38.043164959001196,0.852610679748719
5,1,35,1237,8,39.557826297605054,2.3326870854951065
5,1,36,1253,8,85.33721342814857,12.916983758402637
5,1,37,1269,8,39.853991787305226,0.6027061445496529
5,1,38,1285,8,50.056451796372485,0.7325175578527173
5,1,39,1301,8,38.713358186904856,55.73548177947181
5,1,40,1317,8,44.23308597634325,53.42940519795851
5,1,41,1336,8,56.73698750483154,171.47865780019936
5,1,42,1355,8,53.966629831389376,20.899425506579206
5,1,43,1375,8,42.11035000496652,0.9986519087604492
5,1,44,1429,8,36.68496345839513,3.4001777480237094
5,1,45,1460,8,46.55801319073653,4.50968740905528
5,1,46,1476,8,42.73331557551274,32.20528721730461
5,1,47,1495,8,62.40460814163219,0.3735747978439188
5,1,48,1511,8,66.02933786716592,2.046965032554544
5,1,49,1528,8,48.13289629185545,390.0635685483613
5,1,50,1545,8,36.125935939251626,26.7579991374663
5,1,51,1561,8,34.90264845213931,1.3233673919288873
5,1,52,1577,8,64.06668209143612,0.8511749240899336
5,1,53,1594,8,32.156212628263944,3.5810802610672168
5,1,54,1613,8,34.59824423294713,83.61886098982626
5,1,55,1629,8,33.2000655208388,80.91115780382144
5,1,56,1645,8,82.04783796182858,778.6926494326601
5,1,57,1661,8,31.20471109272148,11.409218538023799
5,1,58,1677,8,34.00561810126764,3.2768096175991746
5,1,59,1693,8,30.62333754107921,23.378759896891893
5,1,60,1709,8,30.22938630684793,6.855309271014997
5,1,61,1733,4,34.073926998976674,0.45249563221836386
10,1,0,2,8,50.98713617991691,0.0
10,1,1,26,8,404.9401782235061,1623.293717182943
10,1,2,55,8,395.42587018940634,6357.424227870631
10,1,3,103,8,312.2018766093484,3701.9123950398916
10,1,4,205,8,392.617970014783,2.6687993046120524
10,1,5,282,8,387.24867754872537,28.018690987420594
10,1,6,301,8,343.2099311165036,6.3578618246929
10,1,7,319,8,296.5918171790668,1.0968498572657042
10,1,8,338,8,7018.602606004424,315.14109637613615
10,1,9,354,8,7475.08832266763,192.44636145927439
10,1,10,456,8,7241.948916362173,1185.220350625968
10,1,11,472,8,7123.876403538757,0.5778858939616798
10,1,12,488,8,5651.095728179558,1.5206982674597436
10,1,13,504,8,4687.398667225779,0.02705200840029152
10,1,14,520,8,4613.640235894215,10775.611300130959
10,1,15,537,8,3743.792215727853,2979.647904283185
10,1,16,553,8,2862.244274815973,7171.839871547851
10,1,17,572,8,2732.691760971752,78262.50546790528
10,1,18,588,8,2388.2307226281214,9684.001525861328
10,1,19,604,8,963.688752350824,754.4740118336958
10,1,20,942,8,4092.756530141436,81109.67048640053
10,1,21,958,8,1131.7409369175327,356.05780852537316
10,1,22,1216,8,1483.9936733585334,135.3826601917653
10,1,23,1232,8,4231.83814032712,0.5831768948762324
10,1,24,1248,8,1078.7612544226554,7401.4401889297515
10,1,25,1341,8,1106.041628506614,167.52164691668673
10,1,26,1357,8,1067.567527336412,1721.6000312458411
10,1,27,1382,8,1208.281757192554,8.8066164091316
10,1,28,1398,8,1023.5047636992135,44.24535763796311
10,1,29,1559,8,1026.9907601802522,4264.092068310175
10,1,30,1575,8,887.5267037952707,138.2772254855802
10,1,31,1591,8,812.3020660287112,3488.002983112879
10,1,32,1607,8,4110.230129472526,36789.16722591649
10,1,33,1623,1,1375.0052361614817,0.0
15,1,0,2,8,50.98713617991691,0.0
15,1,1,26,8,404.9401782235061,1623.293717182943
15,1,2,55,8,406.39074790723834,6934.0940250689255
15,1,3,123,8,343.41521116395893,3498.4613569304333
15,1,4,221,8,409.6810286536759,0.000893920147281094
15,1,5,304,8,391.6577813417765,0.014486822866145981
15,1,6,320,8,376.13348436339163,0.046501938876461306
15,1,7,338,8,365.2547503757721,0.4903014608066439
15,1,8,400,8,317.5814356777743,0.021233205121716767
15,1,9,481,8,265.9436859520401,23.891295266548866
15,1,10,578,8,318.2891594135668,2.3186758732291963
15,1,11,612,8,205.679344803252,150.40300665387701
15,1,12,631,8,229.37233695807413,0.6215377345762245
15,1,13,749,8,144.45040140484335,315.60644449718103
15,1,14,879,8,208.42544964918693,8.896720739970206
15,1,15,1021,8,255.79404384691173,11.646294656010344
15,1,16,1086,8,231.5191802948003,61.309097042741385
15,1,17,1236,8,320.8423271977588,0.45409371854192565
15,1,18,1259,8,277.2693964585519,74.54277341512201
15,1,19,1275,8,248.9247665779127,686.113950173036
15,1,20,1329,8,235.86359476381114,419.709526667363
15,1,21,1545,8,258.6254556180465,0.03135504822378588
15,1,22,1734,4,306.1145560902494,0.5503800847788707
20,1,0,2,8,50.98713617991691,0.0
20,1,1,26,8,404.9401782235061,1623.293717182943
20,1,2,55,8,406.39074790723834,6934.0940250689255
20,1,3,123,8,343.41521116395893,3498.4613569304333
20,1,4,221,8,409.6803856178292,0.0008939175071118875
20,1,5,304,8,391.59379679842067,0.020838082619456386
20,1,6,320,8,382.78085409775053,0.0050238942710331864
20,1,7,344,8,351.79235989074147,0.7528472863896505
20,1,8,426,8,296.94816486318837,27.279610769087032
20,1,9,523,8,231.18429681213019,0.023000707204272986
20,1,10,570,8,186.6127002574066,234.52951265735527
20,1,11,699,8,138.01090172909034,0.8856340792114504
20,1,12,715,8,137.51664927152663,555.6460192765497
20,1,13,869,8,120.554186333398,99.92969123402216
20,1,14,885,8,222.86956209187284,0.3568459403326971
20,1,15,978,8,136.05994203905036,394.0105529976576
20,1,16,1121,8,153.19086737096038,1.1616484661267674
20,1,17,1137,8,209.39698325116146,0.41899438506714903
20,1,18,1155,8,123.16601102936713,1.4974725380455938
20,1,19,1241,8,114.28324296473727,169.77150829014488
20,1,20,1264,8,169.17805313229798,0.830815189357763
20,1,21,1286,8,172.6970213680887,2.6901327428013877
20,1,22,1373,8,126.88718000007108,756.0282130681755
20,1,23,1430,8,94.60269951776944,2.7765010137697086
20,1,24,1640,8,100.37059458923099,1.138757915304482
20,1,25,1657,3,90.6492195032132,1.8297500677279366
30,1,0,2,8,50.98713617991691,0.0
30,1,1,26,8,404.9401782235061,1623.293717182943
30,1,2,55,8,406.39074790723834,6934.0940250689255
30,1,3,123,8,343.41521116395893,3498.4613569304333
30,1,4,221,8,409.6803856178292,0.0008939175071118875
30,1,5,304,8,391.59379679842067,0.020838082619456386
30,1,6,320,8,382.78085409775053,0.0050238942710331864
30,1,7,344,8,351.7923178711138,0.7528436249079606
30,1,8,426,8,296.9474505170637,27.279968699641106
30,1,9,523,8,231.1848854603411,0.02300070612210877
30,1,10,570,8,186.7891620169711,230.37068855068884
30,1,11,677,8,119.71398243689555,27.731978164627733
30,1,12,728,8,117.68519240798267,20.455292998642662
30,1,13,847,8,150.13350828713018,13.281708375281154
30,1,14,1085,8,151.65626458036766,111.01160824731033
30,1,15,1347,8,239.18220723845195,0.37238987654596656
30,1,16,1611,8,187.43452175761539,3.573659173949187
30,1,17,1628,4,111.48266018453488,0.7988937589457143
