depth,smac_seed,proposal_trial,model_training_rows,fit_serial,configuration_fingerprint,expected_improvement,predicted_full_training_par10,prediction_variance,prediction_standard_deviation,actual_full_training_par10,signed_error,absolute_error,standardized_error,average_actual_tree_depth
5,1,3,2,0,3963558a667c2746c467aacd3fa94ce81e79f0bed2541a94deda7b90caccca4d,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,3928.9774573740333,1607.6565514791241,1607.6565514791241,12.578901636801643,0.49
5,1,5,2,0,285e57f39ca8e16a1a5cd08c6550db48cc7d2a9502bc0491de575fcb5d3d26b4,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,1483.5922081070717,-837.7286977878375,837.7286977878375,-6.554700304678834,0.49
5,1,9,2,0,c2197bc24d905ad22a3bfb99d1fd4a7ff7264ba48d777bd09802b2f5320b55a8,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,3456.648554144965,1135.327648250056,1135.327648250056,8.883224964772106,0.49
5,1,11,2,0,a9f1820951eae386a25f1e7e88bb42edbf5eabf52c322f1102d4cf40204c7d3d,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,1895.3296419085877,-425.9912639863214,425.9912639863214,-3.3331137816038194,0.49
5,1,13,2,0,6a8c37559d13cce1696b19fdde4df34b40512a05b1287a0b8ac17f07ed5bd107,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,1471.6884565218531,-849.632449373056,849.632449373056,-6.647839675872028,0.49
5,1,15,2,0,e16bc25a7a2f2a6b166fd337ceba0856740db18a1dcf86255db2fa72f92810a3,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,1227.2794597741329,-1094.0414461207763,1094.0414461207763,-8.560186393465626,0.49
5,1,23,2,0,1ddd5c3315a3131a754de9c9dec86e91ad6114b3ca753433897e3b324331d3dd,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,4025.2085507171323,1703.8876448222231,1703.8876448222231,13.331849433052662,0.49
5,1,25,2,0,eda71ce57ea56b192f7c9aaa45ce8dbcab1b666ebb328c39375d26d80b5c20ed,50.98713617991691,2321.320905894909,16334.321795637497,127.80579719104098,4378.527387522688,2057.2064816277784,2057.2064816277784,16.096347167669684,0.49
5,1,27,26,1,bc8ffaab9525e12066f62cc5a4c13f5cf044325a9e8506384f8722149152de8b,492.4574924016006,2175.371649922387,4624063.402570713,2150.3635512560923,1733.1126676463118,-442.25898227607513,442.25898227607513,-0.20566707523373817,5.0
5,1,29,26,1,8508882d325f2aa0e93acb31b08034477f5a1eacda5d3ded813715a781427304,492.4574924016006,2175.371649922387,4624063.402570713,2150.3635512560923,1937.1819985283746,-238.18965139401234,238.18965139401234,-0.11076715435158793,5.0
5,1,31,26,1,666712f6f0ed1698babdf10c03f3dc89c207161f3085e001f8551fe434d17930,390.3002784842683,2551.2806680194444,4816946.1031324435,2194.7542238557016,1588.966711371836,-962.3139566476084,962.3139566476084,-0.4384609202195925,5.0
5,1,33,26,1,d6571ecf3d59efc9a37d2ff7750ac474614745c2e4f9c6ca52c1b982ed0d8bf8,384.36266036981544,2522.451561786164,4635639.307675512,2153.053484629565,1693.614005580093,-828.837556206071,828.837556206071,-0.3849591113843943,5.0
5,1,35,26,1,3e6989ce93ad6d2b7fa0447f87aeefb1ec47cf38a26d7eb090a1243670023ee3,383.0768663554637,2758.082712191273,5494466.173556923,2344.027767232488,4205.872622834793,1447.7899106435202,1447.7899106435202,0.617650494965286,5.0
5,1,37,26,1,41536714a71eb93bcdf88069477561a2f73044940011ae7cc2621b4870f69044,382.0882521621582,2225.5572543762178,3574756.338297171,1890.7026044032339,3514.5065414891096,1288.9492871128919,1288.9492871128919,0.6817303176666039,5.0
5,1,39,26,1,9147cb0fd9049cfadcc1a0e362b1cbc7050f7dbc3e8f75697bb8e82cc187e283,381.35814305232765,2232.5009270468995,3590175.3345326358,1894.7758005982228,2022.561132612132,-209.93979443476746,209.93979443476746,-0.11079927998261578,5.0
5,1,41,26,1,30c58b6125a1688d5c20700c0f111574a0a4e19dbf02bc269a8a95ae38d9c82b,380.5984857945058,2662.5937905645214,5100538.434188355,2258.4371663139877,2978.751664101957,316.15787353743553,316.15787353743553,0.1399896699598861,5.0
5,1,43,42,2,d5201286ba4dd41f92bd4d27d085c6622dc8935faf90047ef92974cdaec7053e,451.3841921886145,1897.247663781501,3373059.197148721,1836.589011496236,1210.7394605694394,-686.5082032120615,686.5082032120615,-0.3737952252326587,5.0
5,1,62,42,2,91d6bfc91b26b78478802ae35b03a110c9f3a72e6fa064fce6c3bfc1de2a998c,451.3841921886145,1897.247663781501,3373059.197148721,1836.589011496236,1222.8745079811174,-674.3731558003835,674.3731558003835,-0.36718784201533683,5.0
5,1,64,42,2,6e80e4356d97191b66f5ccb7bf4381e71e50b6dffde0efa90c7c176a2b6990d8,451.3841921886145,1897.247663781501,3373059.197148721,1836.589011496236,1258.7868150345003,-638.4608487470007,638.4608487470007,-0.3476340350239045,5.0
5,1,66,42,2,b14592bc032cdf825a9b5a972ef8469e45c456982c10dc56c58dcb9a4f5a0e93,347.8826557634575,2821.7364556131115,5462351.060608809,2337.1673154930113,581.0262715060302,-2240.710184107081,2240.710184107081,-0.9587290431684036,5.0
5,1,88,42,2,e244471abe4e42a195633f832ee7b8b683abe24e26f604103f17428386371b1d,337.7331392080011,2114.483728850694,2970301.948165201,1723.456395782963,1650.6315310237383,-463.85219782695594,463.85219782695594,-0.2691406634725033,5.0
5,1,90,42,2,fbb3c821754d55da9a2fc174e662fa9947476e20a84261f1ce685e94fb0ab337,329.2522249580302,2073.282926545,2766536.4532187455,1663.2908504584354,511.9416949281789,-1561.341231616821,1561.341231616821,-0.9387060784868052,5.0
5,1,114,42,2,5eac0cb2f7933ee0f33a800350e49b78eaf8ecd6c9268780ab4e3f7e34a58751,320.7112907540423,2143.8381675474557,2890316.754506164,1700.0931605374349,540.8163076766814,-1603.0218598707743,1603.0218598707743,-0.942902363870475,5.0
5,1,116,42,2,fc414f0b8796318d1607c5d01a99cc7eb50e322d8b6f7c1869dc9c38748254f0,317.2987580032946,2765.6093385266495,4824064.889450603,2196.3753981163154,1799.3795526947638,-966.2297858318857,966.2297858318857,-0.4399201460099018,5.0
5,1,118,117,3,71006cb2cc82f89715ad4e16c5ade2537fa733df97b2ea25c74f5b378a3e169d,444.2181749358718,1142.9813528786406,2958338.9857656374,1719.9822632125126,574.7377690363412,-568.2435838422994,568.2435838422994,-0.3303775835344704,5.0
5,1,120,117,3,ba7fc12ca5a3da6af5730e9d8814534828ad6b97af9d4380b9b2cea2103ab093,444.2181749358718,1142.9813528786406,2958338.9857656374,1719.9822632125126,507.03643167476463,-635.944921203876,635.944921203876,-0.3697392320872449,5.0
5,1,122,117,3,8af2920de1a68f455363f8dd9b2ffa6f26c3408847f87dd3b80e54c5f208e30e,444.2147717092904,1142.9884925369422,2958332.2985116187,1719.9803192221761,529.2989866353045,-613.6895059016377,613.6895059016377,-0.3568003069820971,5.0
5,1,124,117,3,62089b8ce394c8e73632f918b560c6865741d991c224b2b3a478f26c02cfc877,444.2147717092904,1142.9884925369422,2958332.2985116187,1719.9803192221761,568.1319133797077,-574.8565791572345,574.8565791572345,-0.3342227656518773,5.0
5,1,126,117,3,91bb250400f0663f4a902e3a1a8ad4501c1b5dd8904c6d7f1351df8dacadff97,444.2147717092904,1142.9884925369422,2958332.2985116187,1719.9803192221761,571.9250811644275,-571.0634113725147,571.0634113725147,-0.33201741031011667,5.0
5,1,128,117,3,5f3f87e12e6173ecab0fa17acd34970ebffc10ceb44cc4d9a8a74aad8116b45f,444.2147717092904,1142.9884925369422,2958332.2985116187,1719.9803192221761,583.3675156612588,-559.6209768756834,559.6209768756834,-0.32536475599253356,5.0
5,1,133,117,3,e5379f3bd5132e688de7799ffc2ffa604c0d7baeddcd8540408909eebe71faa3,444.2147717092904,1142.9884925369422,2958332.2985116187,1719.9803192221761,580.5241991158688,-562.4642934210734,562.4642934210734,-0.327017865922696,5.0
5,1,135,117,3,a2fbe6e48ffe72fe51305b5b9c84da485bd5448a57e9fc1ae7ea79fd337841b3,238.1908733065973,1438.3307117370953,2000478.0003382487,1414.3825509169183,561.4726876673072,-876.858024069788,876.858024069788,-0.6199581743293828,5.0
5,1,137,136,4,914114e0a609ffb6fa4575213a2a81bb8e4dc1ffbf26865a1829e56ea9da4fe4,392.56178666883807,1402.0858773212437,3158298.568872145,1777.160254133584,449.2243583004884,-952.8615190207554,952.8615190207554,-0.5361708471728693,5.0
5,1,139,136,4,f69a66486fea3fceb9870b680bfccdce314f1631fadc995577287e203d981bed,392.56178666883807,1402.0858773212437,3158298.568872145,1777.160254133584,413.6242582378965,-988.4616190833472,988.4616190833472,-0.5562028617195528,5.0
5,1,148,136,4,7540fe69d153b72a87b13ce201a55a1881258910c88a887ad53bccd2fadfbffe,392.56178666883807,1402.0858773212437,3158298.568872145,1777.160254133584,399.2809345062333,-1002.8049428150105,1002.8049428150105,-0.5642737848106479,5.0
5,1,185,136,4,55b65d9bfe2aa29e411c482267d7048d38a748935c8c39b72173d25bc2538eb9,392.50683585871127,1400.3399949329073,3152065.4270491977,1775.4057077325165,329.83476623188363,-1070.5052287010237,1070.5052287010237,-0.6029637192437745,5.0
