depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,1398,60,a68502b0f6bde1ef591d063dc5f1984d913ba4a4f4706ec37cf883e06d0dd160,2.5499680797457693,2.469025351603826
5,1,1398,138,d2275a15a98ee4e8bed60868b7b2609978c5a2158fb1e6d8c7421d80658b8860,2.3440369518995285,1.7298212422840837
5,2,1398,219,acb11d94e3811e24da5b36d0c94fc92da75db59b0ac1903cda0782778f568c78,3.0930692573785783,3.1135395052226165
10,0,1398,283,5d02be209465daf1a2aad61705a21d2628ba3591090f66017e74f07994dc76de,2.8077033894062042,2.7302445796690225
10,1,1398,139,6e82db8de0ff4c6646b369c8dbd41dbed2875593a84371fee8cc5dd1c8ebaad9,2.2503603451251983,1.7789214480695108
10,2,1398,219,acb11d94e3811e24da5b36d0c94fc92da75db59b0ac1903cda0782778f568c78,3.0930692573785783,3.161576082717338
15,0,1398,294,16cb9606c7ea64217ed67bd10f6f889fa442a97f658f04f77ec0664fc1bcdd79,2.3797974063158036,2.283729850029459
15,1,1398,100,b4403257a1ade1fee9c8617d19eb06512d44208470bbbc6b54c2ac15b0b1417c,2.4903709705471995,1.7667174112796784
15,2,1398,213,ade581a6452a3ac5d698e00d50c82e3ae20473f02caeaf22d421d0e3cff5c1a9,2.877091087579727,3.105483030489353
20,0,1398,293,16cb9606c7ea64217ed67bd10f6f889fa442a97f658f04f77ec0664fc1bcdd79,2.3797974063158036,2.286503669344931
20,1,1398,142,d2275a15a98ee4e8bed60868b7b2609978c5a2158fb1e6d8c7421d80658b8860,2.3440369518995285,1.7057383211565689
20,2,1398,213,ade581a6452a3ac5d698e00d50c82e3ae20473f02caeaf22d421d0e3cff5c1a9,2.877091087579727,3.105483030489353
30,0,1398,294,16cb9606c7ea64217ed67bd10f6f889fa442a97f658f04f77ec0664fc1bcdd79,2.3797974063158036,2.2859805595307123
30,1,1398,142,d2275a15a98ee4e8bed60868b7b2609978c5a2158fb1e6d8c7421d80658b8860,2.3440369518995285,1.7057383211565689
30,2,1398,213,ade581a6452a3ac5d698e00d50c82e3ae20473f02caeaf22d421d0e3cff5c1a9,2.877091087579727,3.105483030489353
