depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,1,1,c1c4cb2ae8f315c68eeec3d3da41d25852a39909ea045904f8f68d6b088854d0,81.32939699554443,78.92112731933594
5,0,16,6,1c5f266ef831c03278bb5ccf9e0cd683650810ed846479ecab86c5892ae777f0,80.4868258228302,83.64031982421875
5,0,30,9,0312598235dc91749c3e441993b8f9a26014d9bd30aa17e6165bfb1c30e4712c,34.86720773601532,36.34229723612467
5,0,65,18,43f275c2b4a3871405b500a5d438966244c585f3a7f183300a72f04a90c3f850,32.46351486587525,32.47583346896701
5,0,122,24,a31df7e67d23d60ba85170ae3258cd294fce85e39d7f2f75338e116212e5c959,32.41447392463684,32.03313994407654
5,0,148,25,be8b45274cc91df6906bacc508d79b4a0332fbbb868511b3c4b9d6053d4af251,31.554338722229005,31.533604736328126
5,0,196,32,12d8727e7a887007f47270b578f0cc091eb30c68f4bb9333d4121b0aa3a80f7b,31.448294312000275,30.904905438423157
5,0,247,38,e656417c85f1987fd72afba0b1cef9c47d583a9fb3bd8686d0c527ec1e0ce86f,30.006781853675843,29.503333794443233
5,0,296,42,b49c049eec123674f8117f38331c19861ea8901892295f6a02feeae6f9ad4410,24.570035060405733,24.00295166742234
5,0,352,47,eddea7929bdf4d53dc3f4458efdb8679d7c86747ecf7b1a57c390242f0c72941,12.549500564455986,12.696582885498696
5,0,411,51,4e17cb0c867b07e7d60e1b4ed39466ff362189fe37cb89944211ce6cc0ab72c4,4.991123805165291,4.592779019299676
5,0,488,60,a68502b0f6bde1ef591d063dc5f1984d913ba4a4f4706ec37cf883e06d0dd160,2.5499680797457693,2.469025351603826
5,0,1398,60,a68502b0f6bde1ef591d063dc5f1984d913ba4a4f4706ec37cf883e06d0dd160,2.5499680797457693,2.469025351603826
5,1,1,1,c1c4cb2ae8f315c68eeec3d3da41d25852a39909ea045904f8f68d6b088854d0,81.32939699554443,61.596092224121094
5,1,7,3,773dadf0307bd296ae64868118ad8113a39c804c06da6c126d4fb0cfea3184b1,70.95502985954285,61.2343495686849
5,1,21,7,33f483050fb6a0f80de1ffd1f3384aafbbb1b79bcf54867645e0eae4e49e6d12,74.02390954208374,61.754434313092915
5,1,48,12,6d8374f07c6c10ad63e64a6545561e220ac882f6611dccc5f08fcdc0151da6fd,68.49395823860168,63.36921087900797
5,1,62,13,fa373cb97fff934e53e76adcec2f6e10ddf19faf7a323775059dcced0c9adc28,32.162721955299375,27.29713146503155
5,1,92,19,7d655bdd74e6704624918a6990cb80e6a58cb057686e2d4a5520093115d7f51e,23.58453604698181,11.286617341794466
5,1,158,35,da0eab9991135eba3af712e39255438da69830bd51b2e5532b7313a077d36d7f,22.231870222091676,8.894093145642962
5,1,213,42,b46b8a7238598c25709ee46fee0291c2766c99ed0b34a670ae8bf8cb4186f24b,16.27495191025734,4.316896069617498
5,1,261,44,eade25426d95440fbb629a48405aa2b56effe4da5248094b21d5d8754bbfb8b0,11.556828073501586,2.4281325177712874
5,1,586,138,d2275a15a98ee4e8bed60868b7b2609978c5a2158fb1e6d8c7421d80658b8860,2.3440369518995285,1.7298212422840837
5,1,1398,138,d2275a15a98ee4e8bed60868b7b2609978c5a2158fb1e6d8c7421d80658b8860,2.3440369518995285,1.7298212422840837
5,2,1,1,c1c4cb2ae8f315c68eeec3d3da41d25852a39909ea045904f8f68d6b088854d0,81.32939699554443,76.72955322265625
5,2,4,2,fa5dbb08a034ea704ba9494fa4ae5977e92f9815a17b062f65eb864079772a3e,68.47774575614929,62.45076370239258
5,2,14,5,3990565ff977c4e5e5523be5595e6e542c13188fedf8d5877a5d4fed5eba8d3b,65.37637063598633,62.72521209716797
5,2,42,13,c13bd3bfdce5435a81cc19a575bf2324065dbd29ff8bcb5686a9677226ef1a14,33.940831168174746,34.560664690457855
5,2,96,27,cfbb427e57add5f907cdfd3e507f163ac70b82be9fc99a0f3c8584c9d0949e2f,31.51186762714386,32.80564414130317
5,2,125,28,af180ac608f83c343f95757edab56455a6dce140a556b8264095cf1c5b307624,29.09932942390442,29.987342630113876
5,2,155,29,b7a8cc02d7ef5e31ab357506ddbc20f64a22c09051c6d58e9a7641651eb4656d,27.430313289642335,27.647495927481817
5,2,247,40,fdc5f6bfbc1bf68eac22d363f77b2d8b1ba262a4c42f12585a928aaa0636db1c,23.045383544921876,24.217754459381105
5,2,322,52,7a3a86465998eb4b9e4fa219181d5c36afae4416a67a39583b8169f8770fa739,6.3083821246623994,6.940133466170384
5,2,700,161,678a346be876708f3aba76f25f9c61169194c37560b8e41758de0ce60a00b669,3.8566966717243196,4.05458226559325
5,2,902,175,33ca5160f8597f81e1eea9eb6108018f71982eec90b4d12942069e5d3e4ec0b4,3.355856741070747,3.445910553250994
5,2,1208,219,acb11d94e3811e24da5b36d0c94fc92da75db59b0ac1903cda0782778f568c78,3.0930692573785783,3.1135395052226165
5,2,1398,219,acb11d94e3811e24da5b36d0c94fc92da75db59b0ac1903cda0782778f568c78,3.0930692573785783,3.1135395052226165
10,0,1,1,c1c4cb2ae8f315c68eeec3d3da41d25852a39909ea045904f8f68d6b088854d0,81.32939699554443,78.92112731933594
10,0,16,6,1c5f266ef831c03278bb5ccf9e0cd683650810ed846479ecab86c5892ae777f0,80.4868258228302,83.64031982421875
10,0,30,9,0312598235dc91749c3e441993b8f9a26014d9bd30aa17e6165bfb1c30e4712c,34.86720773601532,36.34229723612467
10,0,65,18,43f275c2b4a3871405b500a5d438966244c585f3a7f183300a72f04a90c3f850,32.46351486587525,32.47583346896701
